20030202 200145000,1.469200,1.468700,0
20030202 200145000,1.469000,1.468500,0
20030202 200417000,1.469100,1.468600,0
20030202 200423000,1.469000,1.468500,0
20030202 200429000,1.469100,1.468600,0
20030202 200432000,1.469000,1.468500,0
20030202 200440000,1.469100,1.468600,0
20030202 200453000,1.469000,1.468500,0
20030202 200453000,1.468900,1.468400,0
20030202 200504000,1.469000,1.468500,0
20030202 200537000,1.468900,1.468400,0
20030202 200538000,1.469000,1.468500,0
20030202 200556000,1.469100,1.468600,0
20030202 200605000,1.469000,1.468500,0
20030202 200605000,1.469100,1.468600,0
20030202 200607000,1.469000,1.468500,0
20030202 200637000,1.468900,1.468400,0
20030202 200638000,1.469000,1.468500,0
20030202 200700000,1.469100,1.468600,0
20030202 200754000,1.469000,1.468500,0
20030202 201023000,1.469100,1.468600,0
20030202 201023000,1.469200,1.468700,0
20030202 201025000,1.469300,1.468800,0
20030202 201136000,1.469400,1.468900,0
20030202 201548000,1.469300,1.468800,0
20030202 201548000,1.469400,1.468900,0
20030202 201553000,1.469300,1.468800,0
20030202 201555000,1.469400,1.468900,0
20030202 201639000,1.469100,1.468600,0
20030202 201701000,1.469200,1.468700,0
20030202 201701000,1.469300,1.468800,0
20030202 201703000,1.469400,1.468900,0
20030202 201705000,1.469300,1.468800,0
20030202 201708000,1.469400,1.468900,0
20030202 203343000,1.469300,1.468800,0
20030202 203616000,1.469400,1.468900,0
20030202 203651000,1.469300,1.468800,0
20030202 203751000,1.469400,1.468900,0
20030202 203932000,1.469500,1.469000,0
20030202 203938000,1.469400,1.468900,0
20030202 204121000,1.469300,1.468800,0
20030202 204123000,1.469400,1.468900,0
20030202 204136000,1.469500,1.469000,0
20030202 204149000,1.469400,1.468900,0
20030202 204151000,1.469500,1.469000,0
20030202 204157000,1.469400,1.468900,0
20030202 204158000,1.469500,1.469000,0
20030202 204210000,1.469400,1.468900,0
20030202 204225000,1.469500,1.469000,0
20030202 204229000,1.469400,1.468900,0
20030202 204229000,1.469500,1.469000,0
20030202 204251000,1.469500,1.469000,0
20030202 204305000,1.469500,1.469000,0
