Group_ID,Bid_First,Ask_First,Bid_Last,Ask_Last,Volume,Volatility,Min,Max
141200,1.5235100000000001,1.52391,1.52401,1.52441,1073,0.0004559412813954108,1.52315,1.52542
141201,1.524,1.5244,1.52495,1.52535,996,0.0002986770788272147,1.52391,1.52567
141300,1.52494,1.52534,1.5244,1.5248,736,0.00020491955944479815,1.52417,1.5254299999999998
141301,1.52444,1.52484,1.52646,1.52686,829,0.0006643050103925773,1.5243799999999998,1.52708
141400,1.52645,1.52685,1.52591,1.52631,952,0.00017596908655637152,1.5257399999999999,1.5271
141401,1.52596,1.52636,1.5262200000000001,1.52662,804,0.00017425573198273964,1.52548,1.52665
141500,1.5260799999999999,1.5264799999999998,1.52627,1.52667,797,0.00017946689875424025,1.52577,1.5269700000000002
141501,1.52629,1.5266899999999999,1.5267600000000001,1.52716,625,0.00016934489461853944,1.52616,1.52728
141600,1.52678,1.52718,1.52613,1.52653,455,0.00016472235144874517,1.5260799999999999,1.52718
141601,1.52614,1.52654,1.5255,1.5259,731,0.00035475105021596034,1.5252700000000001,1.5269
141700,1.52544,1.5258399999999999,1.52642,1.52682,395,0.0002400162559554524,1.52538,1.52705
141701,1.52637,1.5267700000000002,1.5267,1.5271,729,0.00029412677821102597,1.52619,1.52787
141800,1.52668,1.52708,1.52585,1.52625,823,0.00038354277713380794,1.5255,1.5275100000000001
141801,1.52586,1.52626,1.5250700000000001,1.52547,840,0.00044888554445813385,1.5250299999999999,1.5268700000000002
141900,1.52509,1.52549,1.52468,1.52508,893,0.00024417168404112117,1.52419,1.52565
141901,1.5246899999999999,1.52509,1.5240799999999999,1.5244799999999998,861,0.00020425389063152927,1.52379,1.5251299999999999
142000,1.52406,1.52446,1.52691,1.52731,1849,0.0007893099253733668,1.52404,1.52854
142001,1.5269,1.5273,1.52535,1.52575,2037,0.0008703135800207896,1.52491,1.52847
142100,1.52536,1.52576,1.5278100000000001,1.52821,1488,0.0010819943001571396,1.52499,1.5292299999999999
142101,1.5278,1.5282,1.5281799999999999,1.5285799999999998,1111,0.00021217694301845056,1.52747,1.5289700000000002
142200,1.52811,1.52851,1.5277,1.5281,927,0.00032010011880313847,1.5267899999999999,1.5287
142201,1.52773,1.52813,1.5278399999999999,1.52824,839,0.00020291964766622165,1.5275299999999998,1.52888
142300,1.52783,1.52823,1.52915,1.52955,804,0.0007297566893723846,1.5274299999999998,1.53005
